PGEM,"Ply Gem Holdings, Inc.",14.75,$1.01B,2013,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/pgem
ENSG,"The Ensign Group, Inc.",19.88,$1.01B,2007,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ensg
KTWO,"K2M Group Holdings, Inc.",23.29,$1.01B,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo
VRNS,"Varonis Systems, Inc.",36.75,$1.01B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vrns
UHT,Universal Health Realty Income Trust,74.35,$1.01B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/uht
VWOB,Vanguard Emerging Markets Government Bond ETF,80.4,$1.01B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vwob
STFC,State Auto Financial Corporation,24.39,$1.02B,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/stfc
ASIX,AdvanSix Inc.,33.36,$1.02B,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
NDRM,NeuroDerm Ltd.,38.65,$1.02B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ndrm
AG,First Majestic Silver Corp.,6.22,$1.03B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ag
XELA,"Exela Technologies, Inc.",6.98,$1.03B,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xela
CVRR,"CVR Refining, LP",7,$1.03B,2013,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvrr
TOUR,Tuniu Corporation,8.14,$1.03B,2014,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/tour
PUMP,ProPetro Holding Corp.,12.39,$1.03B,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/pump
MAG,MAG Silver Corporation,12.81,$1.03B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mag
SBCF,Seacoast Banking Corporation of Florida,23.6,$1.03B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbcf
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",26.08,$1.03B,1992,Finance,Commercial Banks,http://www.nasdaq.com/symbol/blx
MMI,"Marcus & Millichap, Inc.",27,$1.03B,2013,Finance,Real Estate,http://www.nasdaq.com/symbol/mmi
CSTE,Caesarstone Ltd.,29.9,$1.03B,2012,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cste
OXM,"Oxford Industries, Inc.",61.51,$1.03B,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/oxm
IPCC,Infinity Property and Casualty Corporation,93.7,$1.03B,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ipcc
DF,Dean Foods Company,11.4,$1.04B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/df
CODI,Compass Diversified Holdings,17.35,$1.04B,2006,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/codi
ZPIN,Zhaopin Limited,18.7,$1.04B,2014,Technology,Professional Services,http://www.nasdaq.com/symbol/zpin
AOBC,American Outdoor Brands Corporation,19.29,$1.04B,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
GTY,Getty Realty Corporation,26.46,$1.04B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/gty
SMP,"Standard Motor Products, Inc.",45.71,$1.04B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/smp
BIF,"USLIFE Income Fund, Inc.",9.9,$1.05B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bif
GTN,"Gray Television, Inc.",14.5,$1.05B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/gtn
TEDU,"Tarena International, Inc.",18.81,$1.05B,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/tedu
XNCR,"Xencor, Inc.",22.4,$1.05B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xncr
STBZ,State Bank Financial Corporation.,27.01,$1.05B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stbz
FBK,FB Financial Corporation,34.48,$1.05B,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/fbk
ABAX,"ABAXIS, Inc.",46.33,$1.05B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
FTA,First Trust Large Cap Value AlphaDEX Fund,50.59,$1.05B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fta
MTL,Mechel PAO,5.11,$1.06B,2004,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/mtl
GOGL,Golden Ocean Group Limited,8,$1.06B,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/gogl
FSP,Franklin Street Properties Corp.,9.93,$1.06B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
CEM,ClearBridge Energy MLP Fund Inc.,15.1,$1.06B,2010,n/a,n/a,http://www.nasdaq.com/symbol/cem
WTTR,"Select Energy Services, Inc.",15.35,$1.06B,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/wttr
ADTN,"ADTRAN, Inc.",22.15,$1.06B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
HLNE,Hamilton Lane Incorporated,22.48,$1.06B,2017,Finance,Investment Managers,http://www.nasdaq.com/symbol/hlne
BCOR,"Blucora, Inc.",23.5,$1.06B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bcor
FTXO,First Trust Nasdaq Bank ETF,26.71,$1.06B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftxo
GHDX,"Genomic Health, Inc.",30.52,$1.06B,2005,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ghdx
GTLS,"Chart Industries, Inc.",34.38,$1.06B,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls
LL,"Lumber Liquidators Holdings, Inc",37.21,$1.06B,2007,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/ll
ECPG,Encore Capital Group Inc,41.1,$1.06B,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
CEO,CNOOC Limited,112.85,$1.06B,2001,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ceo
EGOV,NIC Inc.,16.2,$1.07B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/egov
HESM,Hess Midstream Partners LP,19.61,$1.07B,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hesm
KREF,KKR Real Estate Finance Trust Inc.,19.96,$1.07B,2017,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kref
ARR,"ARMOUR Residential REIT, Inc.",25.93,$1.07B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arr
BEAT,"BioTelemetry, Inc.",33.05,$1.07B,2008,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/beat
ASTE,"Astec Industries, Inc.",46.3,$1.07B,1986,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/aste
ISTB,iShares Core 1-5 Year USD Bond ETF,50.29,$1.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/istb
FTSM,First Trust Enhanced Short Maturity ETF,60.0397,$1.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftsm
ALG,"Alamo Group, Inc.",92.11,$1.07B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
VTWO,Vanguard Russell 2000 ETF,111.45,$1.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtwo
USA,Liberty All-Star Equity Fund,5.71,$1.08B,1986,n/a,n/a,http://www.nasdaq.com/symbol/usa
DYN,Dynegy Inc.,8.24,$1.08B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dyn
